Table S1: Unique studies reported in EWAS Atlas 
Stage,Platform,Sample size,Male(%),Age(min),Age(max),Age(mean),Age(sd),Tissue,Cohort name,Full name,Description,Ancestry,Tissue
Initial,450K,132,0.72,0,0,0,0,whole blood,NCL,Norway Facial Cleft Study,cleft lip and palate,European,whole blood
Initial,450K,132,0.76,null,null,59.5,14.6,liver,,,pairs of HCC tumor and adjacent non-tumor tissues,African American or Afro-Caribbean;Asian unspecified;European;Hispanic or Latin American;Other,liver
Initial,450K,132,null,null,null,27.2,5.7,whole blood,CBC,,,Hispanic or Latin American,whole blood
Initial,450K,132,null,null,null,27.2,5.7,whole blood,CBC ,,,Hispanic or Latin American,whole blood
Initial,450K,132,null,null,null,null,null,liver,,,paired HCC and adjacent normal,Not reported,liver
Initial,450K,134,0.35,65,91,null,null,leukocyte,,,,Not reported,leukocyte
Initial,450K,134,0.5,0,0,0,0,cord blood,NHBCS,New Hampshire Birth Cohort Study,,Not reported,cord blood
Initial,450K,135,0,33,88,62.4,11.4,leukocyte,,,control,European,leukocyte
Initial,450K,135,0,null,null,55.8,4.2,whole blood,NOWAC,,Never smokers,European,whole blood
Initial,450K,135,1,30,70,47,15,whole blood,DTR,,,European,whole blood
Initial,450K,136,0.58,0,0,0,0,whole blood,CBC,,,European,whole blood
Initial,450K,136,null,0,0,0,0,cord blood,GECKO,Groningen Expert Center for Kids with Obesity,,Not reported,cord blood
Initial,450K,137,0.78,null,null,46.5,8.9,whole blood,COW-1,,,East Asian,whole blood
Initial,450K,138,0,0,0,0,0,cord blood,,,,European;Not reported,cord blood
Initial,450K,138,0.49,0,0,0,0,cord blood,NHBCS,New Hampshire Birth Cohort Study,,European;Not reported,cord blood
Initial,450K,138,0.55,0,0,0,0,whole blood,PRISM,,,Other admixed ancestry,whole blood
Initial,450K,139,1,null,null,55.7,3.3,whole blood,ETS,Emory Twin Study,,European,whole blood
Initial,450K,139,null,null,null,null,null,bladder,,,,Not reported,bladder
Initial,450K,14,0,null,null,26.2,1.4,CD4+ T cell,,,Normal BMI,European,CD4+ T cell
Initial,450K,14,0,null,null,26.2,1.4,CD8+ T cell,,,Normal BMI,European,CD8+ T cell
Initial,450K,14,0,null,null,29.7,5.85,skeletal muscle,,,Controls,Not reported,skeletal muscle
Initial,450K,14,0,null,null,43.4,13.5,skin,,,NN,Not reported,skin
Initial,450K,14,0,null,null,null,null,whole blood,,,medically-indicated PTB,African American or Afro-Caribbean,whole blood
Initial,450K,14,0.33,0,0,0,0,chorionic villi,,,Anencephaly,European,chorionic villi
Initial,450K,14,0.57,0,0,0,0,cord blood T lymphocyte,,,Past depression group,European;Other,cord blood T lymphocyte
Initial,450K,14,0.64,2.3,10.3,4.65,2.42,bone marrow,,,Hyperdiploidy (HHD),European,bone marrow
Initial,450K,14,0.64,45,92,73.3,12.6,bladder,,,recurred,Not reported,bladder
Initial,450K,14,0.64,null,null,21.9,3.6,whole blood,,,Converters,Not reported,whole blood
Initial,450K,14,0.64,null,null,27,4,adipose tissue,LIPOGAIN,,,Not reported,adipose tissue
Initial,450K,14,0.64,null,null,27,4,adipose tissue,LIPOGAIN,,PUFA group Baseline,Not reported,adipose tissue
Initial,450K,14,0.64,null,null,67.6,7.7,adipose tissue,,,Nondiabetic,Not reported,adipose tissue
Initial,450K,14,0.64,null,null,67.6,7.7,adipose tissue,,,Type 2 diabetes,Not reported,adipose tissue
Initial,450K,14,0.71,19,39,30.3,7.3,whole blood,,,,European,whole blood
Initial,450K,14,1,25,50,null,null,sperm,,,nonsmoker,Not reported,sperm
Initial,450K,14,1,25,50,null,null,sperm,,,smoker,Not reported,sperm
Initial,450K,14,1,null,null,47.9,4.2,peripheral blood,SABRE,Southall And Brent REvisited,Former smokers,European,peripheral blood
Initial,450K,14,null,null,null,12,7.5,whole blood,,,patients with mutations in ARID1B,Not reported,whole blood
Initial,450K,141,0.52,0,0,0,0,placenta,RICHS,Rhode Island Child Health Study,,European;Not reported,placenta
Initial,450K,142,1,null,null,null,null,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Current smokers,Not reported,whole blood
Initial,450K,143,0.54,0,0,0,0,whole blood,PROGRESS,,,Hispanic or Latin American,whole blood
Initial,450K,144,0,null,null,57.7,7.1,leukocyte,EPIC Netherlands,,,European,leukocyte
Initial,450K,144,0,null,null,null,null,whole blood,,,controls,African American or Afro-Caribbean,whole blood
Initial,450K,144,null,30,36,33,null,whole blood,,,26 PTB,Not reported,whole blood
Initial,450K,145,0.52,13,79,35,null,brain,,,,Not reported,brain
Initial,450K,1450,0.44,null,null,63.7,8.1,whole blood,RS,Rotterdam Study,,European,whole blood
Initial,450K,146,0,null,null,null,null,whole blood,,,Early sPTBs,African American or Afro-Caribbean,whole blood
Initial,450K,147,0,30,39,null,null,saliva,,,,African American or Afro-Caribbean,saliva
Initial,450K,147,0.59,null,null,5.6,0.1,whole blood,EDEN,Etude des D eterminants pr e et post natals du d eveloppement et de la sant e de l’ Enfant,,European,whole blood
Initial,450K,148,0.57,null,null,64.77,9.44,whole blood,EGCUT,,,European,whole blood
Initial,450K,149,0.59,7.5,7.5,7.5,0,whole blood,ALSPAC,Avon Longitudinal Study of Parents and Children,Current asthma,Not reported,whole blood
Initial,450K,1496,0.52,null,null,58.8,10.9,whole blood,FHS,Framingham Heart Study,,European,whole blood
Initial,450K,15,0,49,86,62,null,tumor tissue,,,,Not reported,tumor tissue
Initial,450K,15,0,null,null,37,10,neutrophil,,,SLE,European,neutrophil
Initial,450K,15,0.47,0,0,0,0,cord blood T lymphocyte,,,Control group,European;Other,cord blood T lymphocyte
Initial,450K,15,0.47,0,0,0,0,cord blood T lymphocyte,,,Current,European;Other,cord blood T lymphocyte
Initial,450K,15,0.53,22,58,null,null,peripheral blood mononuclear cell,,,Allergic participants,Not reported,peripheral blood mononuclear cell
Initial,450K,15,0.67,null,null,59.5,10.7,pancreatic islet,,,Type 2 diabetes,Not reported,pancreatic islet
Initial,450K,15,1,null,null,null,null,sperm,,,Current smokers,Not reported,sperm
Initial,450K,15,1,null,null,null,null,sperm,,,Never smokers,Not reported,sperm
Initial,450K,15,null,null,null,null,null,whole blood,,,No PD,Not reported,whole blood
Initial,450K,15,null,null,null,null,null,whole blood,,,PD + anxiety,Not reported,whole blood
Initial,450K,15,null,null,null,null,null,whole blood,,,PD + no anxiety,Not reported,whole blood
Initial,450K,150,0.23,null,null,71.6,6,whole blood,GENOA,Genetic Epidemiology Network of Atherosclerosis,,African American or Afro-Caribbean,whole blood
Initial,450K,150,0.51,57,74,null,null,buffy coat,BWD,,,European,buffy coat
Initial,450K,150,0.58,0,0,0,0,cord blood,EDEN,,,European,cord blood
Initial,450K,151,0.6,null,null,72.6,4.5,whole blood,BASICMAR_1,,type 2 diabetes mellitus,European,whole blood
Initial,450K,152,null,null,null,43.1,4.5,whole blood,BHS,Bogalusa Heart Study,MetS-,African American or Afro-Caribbean,whole blood
Initial,450K,1522,0.48,32,72,58.6,7.5,whole blood,KORA F4,Cooperative Health Research in the Region of Augsburg,"classified according to mild, moderate, or severe levels of anxiety (29.4%/6.0%/1.5%, respectively)",European,whole blood
Initial,450K,153,0.62,61,73,70,null,lung,TCGA,,Heavy smoking,Not reported,lung
Initial,450K,1538,0.51,null,null,67.4,8.5,whole blood,,,Former smokers,European,whole blood
Initial,450K,154,0.15,null,null,52.3,12.4,leukocyte,EnviroGenoMarkers,,EPIC-Italy,European,leukocyte
Initial,450K,155,0,36,70,52.6,7,whole blood,EPIC,European Prospective Investigation into Cancer and Nutrition,,European,whole blood
Initial,450K,155,0.53,35,71,54.7,6.9,whole blood,EPIC,European Prospective Investigation into Cancer and Nutrition,,European,whole blood
Initial,450K,155,null,null,null,32,5.7,cord blood,CBC,,,European,cord blood
Initial,450K,155,null,null,null,32,5.7,cord blood ,CBC,,,European,cord blood 
Initial,450K,157,null,0,0,0,0,cord blood,MoBa2,Norwegian Mother and Child Cohort Study,,Not reported,cord blood
Initial,450K,158,0,null,null,58.2,11.4,ovarian,TCGA,The Cancer Genome Atlas,recurrence >12 months,Not reported,ovarian
Initial,450K,158,0.608,17.9,86,65.4,null,tumor tissue,TCGA,The Cancer Genome Atlas,,Not reported,tumor tissue
Initial,450K,159,0,null,null,58.8,5.6,leukocyte,EPIC-Netherlands,European Prospective Investigation into Cancer and Nutrition,,European,leukocyte
Initial,450K,159,0.75,41,70,61,7.1,whole blood,MCCS,Melbourne Collaborative Cohort Study,,European,whole blood
Initial,450K,16,0,null,null,33.9,15.7,skin,,,paird PP / PN,Not reported,skin
Initial,450K,16,0.313,26,82,57,null,lung,,,Never smokers,Not reported,lung
Initial,450K,16,0.37,0,0,0,0,chorionic villi,,,control,European,chorionic villi
Initial,450K,16,0.44,null,null,28.7,46.5,peripheral blood mononuclear cell,,,30 hours diesel exhaust exposure,Asian unspecified;European;Greater Middle Eastern;South Asian,peripheral blood mononuclear cell
Initial,450K,16,0.44,null,null,28.7,46.5,peripheral blood mononuclear cell,,,30 hours filtered air exposure,Asian unspecified;European;Greater Middle Eastern;South Asian,peripheral blood mononuclear cell
Initial,450K,16,0.44,null,null,28.7,46.5,peripheral blood mononuclear cell,,,6 hours diesel exhaust exposure,Asian unspecified;European;Greater Middle Eastern;South Asian,peripheral blood mononuclear cell
Initial,450K,16,0.44,null,null,28.7,46.5,peripheral blood mononuclear cell,,,6 hours filtered air exposure,Asian unspecified;European;Greater Middle Eastern;South Asian,peripheral blood mononuclear cell
Initial,450K,16,0.44,null,null,28.7,46.5,peripheral blood mononuclear cell,,,pre-exposure,Asian unspecified;European;Greater Middle Eastern;South Asian,peripheral blood mononuclear cell
Initial,450K,16,0.56,0,0,0,0,placenta,,,control,Not reported,placenta
Initial,450K,16,0.56,18,88,69.6,21.3,glia,,,,European,glia
Initial,450K,16,0.56,18,88,69.6,21.3,neuron,,,,European,neuron
Initial,450K,16,0.563,42,71,56,null,lung,,,Current smokers,Not reported,lung
Initial,450K,16,0.75,0,0,0,0,neonatal blood,,,Psychological Development,Not reported,neonatal blood
Initial,450K,16,1,null,null,46.9,3.9,peripheral blood,SABRE,Southall And Brent REvisited,Current smokers,European,peripheral blood
Initial,450K,16,1,null,null,55.7,7.3,prostate gland tissue,,,adjacent normal tissues,Not reported,prostate gland tissue
Initial,450K,16,1,null,null,62.25,18.18,whole blood,,,8 atherosclerotic patients and 8 healthy subjects,Not reported,whole blood
Initial,450K,16,1,null,null,null,null,CD14+ monocyte,,,BD patients,Not reported,CD14+ monocyte
Initial,450K,16,1,null,null,null,null,CD14+ monocyte,,,healthy controls,Not reported,CD14+ monocyte
Initial,450K,16,1,null,null,null,null,CD4+ T cell,,,BD patients,Not reported,CD4+ T cell
Initial,450K,16,1,null,null,null,null,CD4+ T cell,,,healthy controls,Not reported,CD4+ T cell
Initial,450K,16,1,null,null,null,null,sperm,,,nonobstructive azoospermia,Not reported,sperm
Initial,450K,16,null,0,0,0,0,placenta,,,,European,placenta
Initial,450K,16,null,null,null,55.6,2.1,peripheral blood mononuclear cell,,,Non-SLE patients,European,peripheral blood mononuclear cell
Initial,450K,16,null,null,null,null,null,nasal epithelial cell,,,healthy controls,Not reported,nasal epithelial cell
Initial,450K,160,0.45,null,null,59.2,2,whole blood,,Dutch Hunger Winter Families study,,European,whole blood
Initial,450K,160,0.66,38,90,63,null,kidney,,,,Not reported,kidney
Initial,450K,160,1,58,69,63.5,2.8,whole blood,HBCS,Helsinki Birth Cohort Study,,European,whole blood
Initial,450K,161,0.55,null,null,65.4,6.8,whole blood,CODAM,,,European,whole blood
Initial,450K,162,0,null,null,null,null,breast,EPIC,European Prospective Investigation into Cancer and Nutrition,Cases,European,breast
Initial,450K,162,0,null,null,null,null,breast,EPIC,European Prospective Investigation into Cancer and Nutrition,Control,European,breast
Initial,450K,162,0.46,0,0,0,0,whole blood,Gen3G,,,European,whole blood
Initial,450K,163,0.52,0,0,0,0,cord blood,,,,Not reported,cord blood
Initial,450K,1630,0.48,null,null,60.99,8.89,whole blood,KORA F4,,,European,whole blood
Initial,450K,164,0.29,null,null,15.4,0.6,whole blood,,,Low-risk group,Not reported,whole blood
Initial,450K,164,0.5,null,null,65.6,6.8,whole blood,BIOS,Biobank-based Integrative Omics Study,,Not reported,whole blood
Initial,450K,164,0.85,null,null,50.6,null,whole blood,RODAM,Research on Obesity and Diabetes among African Migrants,No abdominal obesity,Sub-Saharan African,whole blood
Initial,450K,165,0.28,null,null,63.8,10.7,whole blood,REGICOR,EWAS nested in the Girona Heart Registry,"Former Smokers, > 5 y",European,whole blood
Initial,450K,165,0.46,null,null,86.7,0.4,whole blood,LBC1921,Lothian Birth Cohort 1921,,European,whole blood
Initial,450K,1658,0.49,32,81,61,8.9,whole blood,KORA F4,Cooperative Health Research in the Region of Augsburg,,European,whole blood
Initial,450K,166,0,56,78,66,null,whole blood,MADT,Middle Aged Danish Twins Study,Female,European,whole blood
Initial,450K,166,0.49,0,0,0,0,whole blood,INMA,,,European,whole blood
Initial,450K,166,0.54,40,88,69,null,saliva,PEG2,Parkinson’s Environment and Genes study,82 PD,European,saliva
Initial,450K,1669,null,null,null,18.4,0.36,whole blood,E-Risk,Environmental Risk Longitudinal Twin Study,,Not reported,whole blood
Initial,450K,168,null,null,null,65.1,10.66,lung,,,lung cancer female subjects,Not reported,lung
Initial,450K,169,0.45,null,null,58,6.8,whole blood,,,Current smokers,European,whole blood
Initial,450K,169,0.61,null,null,15,3,nasal epithelial cell,EVA-PR,Epigenetic Variation and Childhood Asthma in Puerto Ricans,Atopic asthma,Hispanic or Latin American,nasal epithelial cell
Initial,450K,17,0,null,null,31.2,5.4,skeletal muscle,,,PCOS,Not reported,skeletal muscle
Initial,450K,17,0.47,0,0,0,0,placenta,,,diabetes during pregnancy,Hispanic or Latin American;Native American,placenta
Initial,450K,17,0.47,null,null,49,null,whole blood,,,t(1;11) Carriers,Not reported,whole blood
Initial,450K,17,0.47,null,null,65.2,7.5,buffy coat,,,Non-exposure group (Generation 1),East Asian,buffy coat
Initial,450K,17,0.47,null,null,null,null,placenta,,,Control,Hispanic or Latin American;Native American,placenta
Initial,450K,17,0.471,null,null,81.54,9.16,hippocampus,,,symptomatic AD,Not reported,hippocampus
Initial,450K,17,0.52,null,null,61.4,11.4,peripheral blood mononuclear cell,,,Parkinson's disease,Not reported,peripheral blood mononuclear cell
Initial,450K,17,0.71,null,null,26.9,4.7,adipose tissue,LIPOGAIN,,SFA group Baseline,Not reported,adipose tissue
Initial,450K,17,0.71,null,null,65.7,8.1,tumor tissue,,,Obese,Not reported,tumor tissue
Initial,450K,17,0.76,null,null,26.9,4.7,adipose tissue,LIPOGAIN,,SFA group Overfeeding,Not reported,adipose tissue
Initial,450K,17,1,23,29,25.2,null,sperm,GUTS,Growing Up Today Study,childhood abuse (High),European,sperm
Initial,450K,17,1,null,null,40.1,7.5,whole blood,DILGOM,"DIetary, Lifestyle, and Genetic determinants of Obesity and Metabolic syndrome study",insufcient sleep,Not reported,whole blood
Initial,450K,17,1,null,null,41.8,8.8,whole blood,Airline,,insufcient sleep,Not reported,whole blood
Initial,450K,17,1,null,null,null,null,subcutaneous adipose tissue,LIPOGAIN,,,Not reported,subcutaneous adipose tissue
Initial,450K,17,null,null,null,55.6,2.1,peripheral blood mononuclear cell,,,Non-SLE patients,African American or Afro-Caribbean,peripheral blood mononuclear cell
Initial,450K,17,null,null,null,null,null,colon,,,normal healthy individuals,Not reported,colon
Initial,450K,17,null,null,null,null,null,kidney,,,,Not reported,kidney
Initial,450K,17,null,null,null,null,null,thyroid,,,benign thyroid lesions,Not reported,thyroid
Initial,450K,170,0.72,null,null,74.3,12.2,whole blood,,,Former smokers,European,whole blood
Initial,450K,170,null,null,null,28,4.1,cord blood,GEN3G,,,European,cord blood
Initial,450K,170,null,null,null,28,4.1,cord blood ,GEN3G,,,European,cord blood 
Initial,450K,1709,0.49,null,null,61,8.9,whole blood,KORA F4,Cooperative Health Research in the Region of Augsburg,,European,whole blood
Initial,450K,171,0.46,null,null,15,3,nasal epithelial cell,EVA-PR,Epigenetic Variation and Childhood Asthma in Puerto Ricans,No atopy,Hispanic or Latin American,nasal epithelial cell
Initial,450K,171,1,null,null,49.5,7.6,whole blood,,,Current (Case),European;Other,whole blood
Initial,450K,172,1,57,79,66,null,whole blood,MADT,Middle Aged Danish Twins Study,Male,European,whole blood
Initial,450K,1727,0.49,null,null,61,8.9,whole blood,KORA,,,European,whole blood
Initial,450K,173,0.53,58,74,66.4,null,lung,TCGA,,Light smoking,Not reported,lung
Initial,450K,1730,0.48,null,null,67,9,whole blood,FHS,Framingham Heart Study,,European,whole blood
Initial,450K,175,0.45,null,null,57.9,6.6,whole blood,RS,Rotterdam Study,Current smokers,European,whole blood
Initial,450K,176,null,18,18,18,0,whole blood,IoW,Isle of Wight,,European,whole blood
Initial,450K,176,null,null,null,30.4,4,cord blood,GECKO,,,European,cord blood
Initial,450K,178,0.44,48,94,67.6,9.5,whole blood,SATSA,The Swedish Adoption/Twin Study of Aging,,European,whole blood
Initial,450K,179,0.56,6,17,10.7,null,whole blood,CNTR,Chinese National Twin Registry,,East Asian,whole blood
Initial,450K,1797,0.49,null,null,60,9,whole blood,KORA F4,Cooperative Health Research in the Region of Augsburg,,European,whole blood
Initial,450K,1799,0.49,null,null,60.92,8.9,whole blood,KORA F4,Cooperative Health Research in the Region of Augsburg,,Not reported,whole blood
Initial,450K,1799,0.49,null,null,61,8.9,whole blood,KORA,,,European,whole blood
Initial,450K,18,0,22,43,null,null,whole blood,,,case,Not reported,whole blood
Initial,450K,18,0.167,null,null,37.7,12.5,leukocyte,,,Simple hepatic steatosis,East Asian,leukocyte
Initial,450K,18,0.28,16,69,29.5,null,CD4+ T cell,,,,Not reported,CD4+ T cell
Initial,450K,18,0.44,0,0,0,0,cord blood,,,Array cohort A Controls,European,cord blood
Initial,450K,18,0.44,null,null,10.8,3.5,buffy coat,,,Exposure group (Generation 3),East Asian,buffy coat
Initial,450K,18,0.44,null,null,29.8,9,muscle,,,Kwashiorkor,Not reported,muscle
Initial,450K,18,0.56,22,79,56.6,12.5,colorectal mucosa,,,Active smokers,Not reported,colorectal mucosa
Initial,450K,18,0.56,null,null,9.4,2.5,leukocyte,,,Siblings not exposed to GDM in utero,Not reported,leukocyte
Initial,450K,18,0.61,null,null,5.8,1.4,leukocyte,,,Siblings exposed to GDM in utero,Not reported,leukocyte
